,content,class
21,主要 工作 职掌 ： 1 . 提供 正规 西菜 料理 ， 包括 餐前 汤 、 前菜 、 主菜 、 餐后 甜品 及 饮品 等 。   2 . 准备 于 营业时间 内 的 点菜 所需 菜餚 。   3 . 协助 主厨 设计所 负责 各式 的 菜单 。   4 . 确保 所 负责 类别 的 食品 均 符合卫生 管理 的 规定 。   员工福利 ： ? 制度 类 1 . 提供 员工 餐点 （ 吃 饱饱 工作 有 活力 ） 2 . 提供 员工 制服 （ 上班 不用 担心 不 知道 穿 什么 ） 3 . 健全 的 升迁管道 （ 努力 不怕 老板 看不到 ） 4 . 介绍 伙伴 到职 介绍 金 5 . 全勤奖金 （ 计时 正职 都 有 唷 ） 6 . 完整 的 新手村 教学 （ 让 你 上班 不会 心慌 当废 咖 ） ? 保险 类 1 . 劳保 2 . 健保 3.6% 劳退 ? 奖金 制度 1 . 绩效奖金 2 . 竞赛 奖金 ? 娱乐 类 1 .   店内 聚餐 / 庆生会 2 .   春酒 摸彩 / 赠奖 3 .   不定期 旅游 奖励 ? 优惠 类 1 .   员工 店内餐 折扣 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 休假 制度 ： 排休,5
22,1 . 进行 花式 调酒 及其 他 饮料 之 调制 。 2 . 负责 清洗 酒杯 、 吧台 设备 以及 周遭 工作 环境 。 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 个性 外向 ， 活泼 ， 有 经验 者 佳 。,5
23,1 . 送货 、 配送 司机 。 2 . 具 相关 工作 经验 。 3 . 需会 驾驶 3.5 吨 小 货车 。 接受 身份 ： 上班族 、 应届 毕业生 、 日间 就读 中 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写,5
24,1 . 蒐集 、 计算 货物 清单 ， 并用 纸笔 或 电脑 记录 资料 。 2 . 以 有条理 且易 取得 的 方式 储存 摆放 仓库 中 的 货品 项目 。 3 . 复查 库存 的 货物 数量 与 纪录 是否 相符 ， 查出 不 一致 之处 并 更正 错误 。 4 . 利用 辨识 标签 、 印花 、 标签 工具 或 其他 标签 设备 ， 在 库存 货物 上 做 记号 。 5 . 定期 清洁 库存 、 工具 、 设备 ， 以 确保 符合 安全 规章 。   6 . 零件 组装 的 领 、 退料 动作 。 7 . 身心 障碍者 优先 接受 身份 ： 上班族 、 应届 毕业生 、 夜间 就读 中 欢迎 身心 障碍 人士 ， 需附 身心 障碍 证明 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： Excel 、 Word 、 中文 打字 20 ~ 50 、 英文 打字 20 ~ 50 工作 技能 ： 不拘 其他 条件 ： 了解 仓库 工作 流程 、 物流 管理 业务流程 等 系统 ， 能够 使用 办公 软体 者 为 佳 ， 尤其 是 了解 ERP 等 系统 原理 。,5
25,工作 内容 & 薪资 1 . 外勤 工作 2 . 电话 连络 客户 关怀 ， 针对 需 收费 的 客户 再 约 时间 前往 拜访 收费 3 . 鼓励 保户 办理 自动 缴费 ， 收费 时 顺便 问 保户 愿不愿意 日后 改为 自动 扣缴 → 如果 成功 另有 奖金 4 . 薪资 ： 月薪 $ 30000 + 油资 $ 6000   【 上班时间 】 ◎ 08 : 30 ~ 17 : 00 ， 週休 六日   ( 视 件数 需求 需 配合 加班 → 有 加班费   )   【 资格 条件 】 1 . 需 自备 交通工具 ( 机车 ) 2 . 因所 负责 业务 涉及 现金 收取 ， 应征者 于 未来 录取 后 ， 须 先 提供 ： 银行 联征 及 良民证 3 . 高中 职 以上 毕业 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 高中 以上 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写,5
26,工作 内容 & 薪资 1 . 外出 连络 保户 ， 拜访 关怀 及 协助 收费 2 . 鼓励 保户 办理 自动 缴费 ， 收费 时 顺便 问 保户 愿不愿意 日后 改为 自动 扣缴 → 如果 成功 另有 奖金 3 . 薪资 ： 月薪 $ 30000 + 油资 $ 6000   【 上班时间 】 ◎ 08 : 30 ~ 17 : 00 ， 週休 六日   ( 视 件数 需求 需 配合 加班 → 有 加班费   )   【 资格 条件 】 1 . 需 自备 交通工具 ( 机车 ) 2 . 喜欢 外勤 工作 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 高中 以上 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写,5
27,工作 内容 & 薪资 1 . 外出 连络 保户 ， 拜访 关怀 及 协助 收费 2 . 鼓励 保户 办理 自动 缴费 ， 收费 时 顺便 问 保户 愿不愿意 日后 改为 自动 扣缴 → 如果 成功 另有 奖金 3 . 薪资 ： 月薪 $ 30000 + 油资 $ 6000   【 上班时间 】 ◎ 08 : 30 ~ 17 : 00 ， 週休 六日   ( 视 件数 需求 需 配合 加班 → 有 加班费   )   【 资格 条件 】 1 . 需 自备 交通工具 ( 机车 ) 2 . 喜欢 外勤 工作 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 高中 以上 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写,5
28,台北 北投 店为 是 一个 复合 书店 / 烘焙 / 咖啡 的 艺文 空间 - - 1 . 商品 解说 销售 、 2 . 具 吧台 服务 、 饮品 调制 经验 者 佳 3 . 柜台 收银 接受 身份 ： 上班族 、 应届 毕业生 、 日间 就读 中 、 夜间 就读 中 工作 经历 ： 不拘 学历 要求 ： 高中 、 专科 、 大学 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 具 餐饮 服务 热忱 ， 有 外场 服务 经验 者 佳,5
29,"国定假日 双薪 ， 月 休 8 天 ， 上班时间 : 10 : 00 ~ 18 : 001 . 对 餐饮 营运 工作 有 兴趣 , 无 经验 可 2 . 具备 热忱 亲切 , 活泼大方 有礼 3 . 能 轮替 ? 外场 各项 工作 , 并 愿意 接受 公司 安排 轮调 , 培训 4 . 个人 维持 整洁 的 仪容 , 并 随时 维持 店内 干净 的 环境 , 好 的 服务 品质 5 . 依照 公司 标准 程序执行 各项 工作 接受 身份 ： 上班族 、 应届 毕业生 、 夜间 就读 中 、 原住民 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 高中 以上 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写",5
30,1 . 进行 商品 交期 、 送货 、 调度 安排 等 相关 工作 2 . 建置 物流 作业 管控 点及 制定 相关 之 管理 报表 3 . 电脑 文书 作业 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 专科 、 大学 科系 要求 ： 不拘 语文 条件 ： 台语   - -   中等 擅长 工具 ： Excel 、 鼎新 工作 技能 ： 不拘 其他 条件 ： 未填写,5
31,"国定假日 双薪 ， 月 休 8 天 ， 上班时间 : 17 : 30 ~ 01 : 301 . 对 餐饮 营运 工作 有 兴趣 , 无 经验 可 2 . 具备 热忱 亲切 , 活泼大方 有礼 3 . 能 轮替 ? 外场 各项 工作 , 并 愿意 接受 公司 安排 轮调 , 培训 4 . 个人 维持 整洁 的 仪容 , 并 随时 维持 店内 干净 的 环境 , 好 的 服务 品质 5 . 依照 公司 标准 程序执行 各项 工作 接受 身份 ： 上班族 、 应届 毕业生 、 夜间 就读 中 、 原住民 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 高中 以上 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写",5
32,台北 民权 店为 是 一个 复合 铁板烧 / 烘焙 / 咖啡 的 艺文 空间 - - 1 . 铁板烧 外场 服务 2 . 柜台 收银 、 吧台 服务 3 . 商品 解说 销售 接受 身份 ： 上班族 、 应届 毕业生 、 日间 就读 中 、 夜间 就读 中 工作 经历 ： 不拘 学历 要求 ： 高中 、 专科 、 大学 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 具 餐饮 服务 热忱 ， 有 外场 服务 经验 者 佳,5
33,1 .   提供 顾客 谘询 ， 推荐 或者 推销 各种 饮料 、 点餐 收银 系统 操作 。   2 .   负责 饮品 调配 与 操作 、 清洗 吧台 设备 以及 周遭 工作 环境 。   3 .   陈列 商品 、 清洁 橱窗 、 维持 营业 场所 的 整洁 与 美观 。   4 .   对 饮品 服务业 有 高度 兴趣 者 。     欢迎 喜欢 接触 人群 ， 有 沟通 协调 能力 、 服务 热忱 及 团队 合作 精神 的 您 ， 加入 圆石 大家庭 的 行列 ！     提供 门市 营运 相关 循序渐进 的 养成 训练 计画 ： 实习生 - > 职人 - > 副 店长 - > 店长 - > 主任 - > 区 经理 ， 借以 提升 个人 的 能力 与 视野 ， 邀 您 与 我们 共同 成长 ！ 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 高中 、 专科 、 大学 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 具备 驾照 ： 普通 重型 机车 其他 条件 ： 未填写,5
